timestamp,server_id,client_id,data_center_id,memory_usage_pct,disk_io_mbps,network_latency_ms,error_count,crash_count,days_since_maintenance,is_business_hours,is_weekend,will_fail_24h,memory_usage_pct_missing,disk_io_mbps_missing,network_latency_ms_missing,error_count_missing,crash_count_missing,hour,day_of_week,mem_avg_3,disk_avg_3,latency_avg_3,error_sum_3,crash_sum_3,mem_diff,disk_diff,latency_diff
2026-06-25 17:15:50.205339,CL10_DC008_SRV0001,10,8,99.0,104.36,21.42,2.0,0.0,44,1,0,1,0,0,0,0,0,17,3,99.0,98.60666666666664,23.553333333333295,12.0,1.0,0.0,27.049999999999997,-3.759999999999998
2026-06-23 12:30:50.205339,CL04_DC010_SRV0009,4,10,68.71,148.49,17.27,3.0,1.0,25,1,0,0,0,0,0,1,0,12,1,71.53666666666663,151.97666666666677,17.583333333333332,9.0,2.0,-4.240000000000009,-10.159999999999997,-0.46999999999999886
2026-07-02 02:30:50.205339,CL09_DC003_SRV0019,9,3,46.98,67.09,7.71,3.0,0.0,41,0,0,0,1,0,0,1,0,2,3,46.98,75.21999999999996,11.220000000000013,9.0,2.0,0.0,-15.950000000000003,-5.159999999999999
2026-07-02 18:10:50.205339,CL10_DC019_SRV0009,10,19,73.68,194.23,38.73,5.0,1.0,32,1,0,0,0,1,0,0,1,18,3,71.71666666666668,207.41666666666666,42.026666666666664,11.0,3.0,-0.11999999999999034,0.0,-4.280000000000001
2026-06-16 12:00:50.205339,CL10_DC010_SRV0004,10,10,42.98,162.55,13.3,3.0,0.0,23,1,0,0,0,0,0,0,0,12,1,43.690000000000005,142.37666666666667,9.499999999999963,9.0,0.0,2.789999999999999,30.880000000000024,5.700000000000001
2026-06-19 12:10:50.205339,CL06_DC005_SRV0007,6,5,42.39,104.3,38.92,4.0,0.0,24,1,0,0,0,0,0,0,1,12,4,42.44333333333332,117.80333333333334,37.47,8.0,0.0,-0.0799999999999983,-12.519999999999996,4.3700000000000045
2026-06-11 13:30:50.205339,CL01_DC008_SRV0004,1,8,49.1,201.02,28.63,4.0,1.0,25,1,0,0,0,0,0,1,1,13,3,51.99333333333334,197.38000000000002,31.423333333333336,14.0,3.0,-3.6799999999999997,5.460000000000008,-4.190000000000001
2026-06-29 20:25:50.205339,CL07_DC008_SRV0016,7,8,69.26,102.16,31.24,3.0,0.0,29,0,0,0,0,0,0,0,1,20,0,67.44000000000001,104.25666666666666,35.94666666666667,9.0,0.0,0.5300000000000011,-5.579999999999998,-5.84
2026-06-23 04:10:50.205339,CL10_DC009_SRV0017,10,9,56.94,54.7,20.89,4.0,2.0,22,0,0,0,0,0,0,0,1,4,1,56.57333333333332,53.153333333333386,108.00333333333332,14.0,6.0,0.21999999999999886,2.460000000000001,-130.67000000000002
2026-06-13 04:05:50.205339,CL10_DC004_SRV0007,10,4,54.34,45.26,37.79,4.0,1.0,37,0,1,0,0,0,1,0,0,4,5,51.106666666666634,43.94999999999996,37.79,13.0,3.0,4.190000000000005,11.339999999999996,0.0
2026-07-02 08:10:50.205339,CL09_DC007_SRV0008,9,7,42.15,61.04,27.28,5.0,1.0,45,0,0,0,0,0,1,0,1,8,3,42.31666666666669,61.96999999999997,28.11333333333339,13.0,3.0,0.519999999999996,-0.8599999999999994,0.0
2026-06-06 00:05:50.205339,CL03_DC014_SRV0003,3,14,38.26,177.25,30.66,4.0,1.0,8,0,1,0,0,1,0,0,0,0,5,39.60666666666667,177.25,28.83666666666667,13.0,3.0,-0.30000000000000426,0.0,4.809999999999999
2026-06-11 10:45:50.205339,CL05_DC001_SRV0009,5,1,54.53,235.09,43.05,2.0,0.0,22,1,0,0,0,0,0,1,0,10,3,53.66666666666668,239.75666666666666,36.579999999999934,6.0,0.0,3.1300000000000026,-7.0,9.809999999999995
2026-07-02 00:25:50.205339,CL10_DC015_SRV0003,10,15,35.07,144.44,175.71,7.0,2.0,48,0,0,0,0,0,0,0,0,0,3,38.183333333333344,152.82000000000002,73.56333333333333,17.0,5.0,-4.670000000000002,-9.310000000000002,151.52
2026-06-25 15:45:50.205339,CL07_DC016_SRV0008,7,16,69.76,65.41,28.46,4.0,1.0,48,1,0,0,0,0,1,0,1,15,3,63.439999999999976,64.68000000000008,28.729999999999944,13.0,3.0,9.480000000000004,-19.27000000000001,0.0
2026-07-01 15:15:50.205339,CL09_DC003_SRV0010,9,3,99.0,200.27,40.99,4.0,1.0,56,1,0,1,1,1,0,0,0,15,2,99.0,202.7733333333334,38.24666666666665,8.0,2.0,0.0,0.0,6.609999999999999
2026-06-28 20:10:50.205339,CL10_DC019_SRV0003,10,19,40.27,111.14,14.54,4.0,1.0,26,0,1,0,0,0,0,1,1,20,6,39.03333333333331,107.39333333333337,17.063333333333343,13.0,3.0,1.8300000000000054,5.6200000000000045,-2.7300000000000004
